7:29,239,302,508,616,861,901,1023,1382,3234
18:138,380,449,521,1510,1622,2163,2700,4048,5581
19:
36:29,70,94,322,616,654,861,873,931,1382
37:61,65,138,301,508,654,787,873,899,1119
41:58,101,138,356,402,901,902,1023,1344,1462
42:58,65,289,361,518,554,736,787,861,899
43:48,58,101,138,289,496,554,899,1187,1804
44:8,76,84,101,289,301,302,354,616,899
45:347,4858,11557,11751,14021,15580,19829,65060,74038,79096
46:58,61,94,239,289,302,508,554,1102,1382
59:29,61,138,239,654,899,947,1102,1119,2139
60:29,45,76,162,302,891,901,1023,1126,1462
69:58,61,101,138,289,354,361,508,861,899
70:3,30,48,239,496,546,726,899,1187,1362
94:29,32,65,301,302,361,508,736,873,899
106:29,32,101,162,239,554,873,899,1109,2030
115:15,29,58,94,289,354,787,861,899,1119
116:138,380,449,859,1164,1200,1784,2008,4671,4880
142:29,58,84,162,364,394,554,861,1102,1119
143:
148:94,116,138,179,813,901,986,1023,1382,1790
150:73,101,289,554,861,1231,1549,1804,4174,5575
156:3,239,301,356,726,774,787,999,1089,2937
161:29,32,84,101,289,327,361,394,616,2139
171:101,162,239,245,289,302,508,554,861,1382
172:138,162,239,364,483,749,861,1140,1535,3234
174:4608,20582,33107,68438,74620,82864,90200,103672
177:29,114,749,873,931,1140,1332,1476,1550,3234
196:29,101,238,289,394,508,554,1023,1119,1382
202:32,58,138,162,245,302,554,861,1102,1119
211:431,481,571,815,873,1339,2583,4107,7048,21380
217:167,901,1023,1126,2338,2626,3841,4187,4268,4697
220:186,7649,10178,22713,39446,40356,45641,58738,64973
223:45,48,58,103,239,554,899,1119,1187,2030
224:4797,7126,14867,15627,15846,24044,45229,51115,53543,68162
225:15,32,96,138,239,496,1109,1119,1187,1499
228:86,254,568,708,3017,3163,4497,5514,7194,10039
229:58,94,101,239,358,361,364,508,787,861
231:3,94,119,179,239,378,901,1126,1382,3841
232:37449,41443,48256,48718,60364,62228,77322,77677,108129,120622
238:61,94,188,357,774,1344,1382,1744,3250,4919
241:29,58,61,94,239,289,402,554,1344,1382
245:40012
249:29,254,302,495,546,749,1476,1499,3234,5117
250:29,94,239,302,358,787,899,1023,1119,1382
253:176,189,678,776,1435,1449,1551,3789,8011,8066
257:101,289,354,554,861,1239,1344,1462,1550,3234
272:29,239,495,692,726,749,1102,1476,1762,3234
273:32,101,289,301,302,327,554,654,861,1109
288:29,301,354,361,364,616,899,901,1023,1119
290:94,138,179,449,901,1126,1382,1832,2618,3841
291:23,88,1050,4753,5006,5347,9581,10511,16852,61772
292:58,138,289,361,483,1140,1344,1410,1462,3234
294:48,97,101,289,363,554,861,899,1102,1187
328:3,239,395,726,837,1567,2361,2868,5025,6284
331:66,302,495,690,692,749,813,1476,1822,3234
345:1754,77581
361:3,29,45,239,364,546,749,1086,1476,3234
376:3,17,45,194,395,1140,1567,2868,3730,5553
384:97,101,289,301,483,554,616,654,1086,1804
401:29,32,58,239,354,356,554,899,1102,1109
402:94,101,239,289,302,749,861,1382,1804,3234
410:179,354,378,834,901,1126,1499,3841,4187,4755
448:58,94,101,138,239,245,289,518,616,1382
449:61,65,94,138,361,866,899,901,1119,2139
450:29,138,285,302,354,363,654,866,873,899
452:5869,9250,13523,15250,22576,23323,45412,51765,69268,81553
476:245,3482,3493,4793,5117,5178,6873,7959,24568,29999
488:94,138,356,394,508,616,787,861,902,1102
490:15,17,29,32,101,138,289,302,354,899
494:29,45,58,101,138,289,301,554,616,1462
500:1912,4075,4756,5080,7795,8197,8861,12253,14750,21171
514:96,97,209,610,1109,1549,1561,2030,2848,3757
525:3,29,239,302,402,495,496,1187,1476,3234
535:17,29,101,239,289,508,554,861,1102,1382
536:29,48,94,239,302,483,508,899,901,1119
538:3,179,239,294,394,901,999,1023,1102,1126
539:29,32,61,94,138,508,787,861,899,1119
564:32,94,239,289,508,518,554,861,873,1382
582:29,32,48,138,239,899,1023,1109,1119,1462
585:22,30,834,901,1126,1362,1499,3841,4187,7006
590:29,101,239,356,483,554,861,1023,2200,3234
601:18245,27912,48912,75023,90054,90819,94414,105155,121234,121660
618:221,5157,7264,7806,11506,13150,13206,15141,36526,62001
624:3190,3864,3915,4485,4966,5450,5827,6266,8514,9368
627:9761,42376,51158,77531,114599
628:6526,21488,39233,65861,75280,84119
632:1937,9042,16386,35960,36398,40478,52165,76752,79189,103249
633:58,61,94,138,239,289,364,508,554,873
634:367,559,1600,2115,4697,4907,4967,9916,12332,22689
646:201,500,546,1164,1913,1936,2008,2848,3081,4880
666:311,1340,1875,4671,4696,4715,7622,10981,14955,16036
667:94,162,353,364,429,483,1086,1140,1382,2200
669:14435,111861
678:84,378,449,521,591,787,803,861,1102,2937
680:29,58,101,138,289,483,554,749,1462,3234
681:116,201,361,827,1205,1410,1744,1951,2153,3599
682:94,378,431,508,866,873,931,1089,1382,1790
683:45128,69187,71448,97127,112536
684:574,877,1099,1139,2103,5111,7180,7711,7994,14754
715:4585,7658,10722,11946,12861,14375,23367,31045,50042,77110
716:32,96,209,331,454,855,1109,2030,7010,7178
741:61,179,364,834,901,984,1009,1023,1126,3841
750:32,138,162,322,354,358,866,873,1102,1119
754:17,32,58,65,70,101,289,500,554,787
756:3,101,289,554,749,999,1476,1535,1804,3234
757:470,1091,4008,4765,4816,9059,9598,11535,11861,12915
758:32,96,162,209,736,855,1109,1140,1277,4017
763:29,45,84,101,289,554,749,1140,1239,3234
773:3141,4916,7742,10256,13958,18491,26219,34246,45008,94677
774:32,76,138,245,289,301,302,361,508,518
775:15,45,58,101,554,901,931,1102,1109,1550
782:3,61,94,131,239,508,654,901,1023,1344
784:29,101,162,285,289,302,354,361,508,861
793:8,29,101,238,239,289,394,554,1462,3234
803:138,449,472,496,521,594,1119,1832,2618,6450
813:97,101,138,289,554,901,931,1023,1109,1344
815:3,138,239,354,378,394,861,1239,1344,1499
817:3,29,239,486,495,749,1102,1476,1499,1762
818:559,574,1435,1551,1790,2115,3789,4697,4967,8011
823:94,179,901,1023,1126,1382,1744,3250,3288,3841
825:29,94,239,394,508,654,901,1102,1119,1382
833:58,70,138,301,302,354,361,508,861,866
835:3,58,97,101,138,239,245,356,394,1804
838:28371,45281,84808,113566
844:3,29,94,239,546,749,861,1382,1476,3234
850:22,278,354,546,1044,1499,2430,2976,4068,5638
856:138,239,301,327,394,866,899,1109,1119,1382
857:101,239,289,302,356,486,554,861,901,1023
874:29,58,101,238,289,301,302,508,736,861
891:254,2638,4932,7194,17934,22134,81900,88980,112071,116449
899:94,138,354,654,873,901,931,1023,1382,1410
900:398,2447,3180,3829,4126,8209,9337,13384,24211,32463
911:3,179,239,395,726,1023,1126,2868,3841,4187
918:15,94,179,327,361,901,1023,1126,1499,3841
925:41,370,1091,5484,7407,11861,13901,14328,20312,28072
926:162,239,302,394,508,861,873,931,1023,1382
937:3,239,361,394,496,518,1089,1119,1239,2200
949:
964:65,116,363,431,873,1549,1703,2583,4542,5117
970:2656,9093,14636,36227,39096,49357,54214,59184,72675,98583
977:17,29,236,239,301,354,356,394,554,1023
981:94,165,508,1340,1382,1875,1881,3250,3288,13838
982:326,472,496,594,646,812,1119,3046,7506,15242
984:29,84,138,394,486,749,999,1550,3234,4268
992:119,367,730,1555,2531,2538,3292,4328,4499,6527
993:3,29,239,254,495,692,726,749,1476,3234
998:29,61,94,97,138,302,873,901,1382,1535
1000:17,29,58,84,101,354,861,873,899,1102
1007:29,32,94,101,289,508,554,1344,1382,1550
1027:1147,1740,2103,2632,3211,4792,6097,9417,9874,14593
1028:342,1181,1762,2338,2531,2626,2669,3162,3730,5553
1044:30,44,84,946,1362,1762,1886,2570,8445,9088
1045:58,94,101,289,508,518,861,899,1023,1382
1049:2545,5287,8574,9981,10048,11070,27923,29290,33595,41249
1068:1130,3426,4218,4807,5975,6359,6880,7675,13267,32062
1069:29,101,138,239,301,358,554,861,1119,1410
1070:6,58,76,394,518,899,901,902,1023,1119
1082:32,101,138,239,301,394,483,486,901,1023
1083:
1088:61,66,245,564,1208,1239,1344,1987,3233,4919
1094:29,32,58,61,508,554,873,899,1119,2139
1116:3,239,431,736,901,931,1023,1126,1164,3841
1121:9120,11017,15167,17669,19122,25601,31244,46256,63725,74826
1125:58,61,94,138,182,239,358,866,1382,1462
1127:58,96,101,289,901,1023,1109,1126,1382,1804
1132:591,861,1009,1152,1424,2200,2338,2429,2626,3304
1133:32,101,508,554,861,899,1023,1102,1119,1382
1140:29,58,101,239,289,302,616,787,1023,2030
1141:176,1066,1435,1449,1790,3309,3789,6455,8011,10695
1148:179,901,1023,1126,1937,3527,3841,4187,5975,7006
1153:15,29,58,238,289,554,654,1102,1462,3234
1163:
1166:48,94,138,353,508,899,986,1119,1187,1382
1172:29,58,65,94,101,138,289,302,361,518
1192:29,58,94,101,138,302,394,554,1102,1382
1204:29,302,495,749,1180,1476,3234,3632,4025,7827
1208:3,17,162,194,239,395,511,726,837,1567
1209:30,94,114,356,1362,1382,1551,2140,3017,3250
1234:285,357,596,827,1205,1410,2153,4919,5604,14754
1236:889,1030,2055,4942,6708,6793,8566,8973,11526,14518
1245:3,131,239,363,431,496,726,873,931,1187
1263:32,58,101,103,289,302,861,901,1023,3234
1267:3,58,101,239,483,554,726,1804,4174,4181
1269:3107,4568,7859,8225,11725,11884,14401,16519,21771,23191
1288:1017,31508,51853,57908,74535,87616,95607,97859,105279,109653
1295:32,76,101,361,394,483,554,616,861,1109
1296:29,449,495,591,692,749,861,1462,1476,3234
1302:17,94,101,162,239,289,483,554,866,1382
1305:3,17,84,239,294,591,787,861,1762,4364
1342:88,4753,5347,9581,11677,17250,24711,30002,39947,61772
1382:48,84,654,873,899,931,1102,1119,1187,2200
1389:61636,75115
1391:26376
1397:2307,4021,4740,7585,8940,12589,17071,18375,33785,49725
1402:48,84,239,302,616,901,1102,1119,1187,1462
1405:106442
1407:84377
1408:88,93,1985,4753,5347,9024,9581,11677,12223,61772
1409:96,101,239,356,508,554,999,1109,1382,3234
1412:380,449,521,1510,1622,1693,2163,2700,4048,5581
1413:15,101,162,239,285,289,394,508,861,901
1418:94,138,239,289,554,861,891,901,1382,3234
1419:119,827,1410,2068,3618,3977,4249,5184,5545,6527
1420:29,239,302,508,749,1119,1187,1382,2618,3234
1427:17,29,94,162,301,358,361,554,899,1119
1430:490,591,1424,2172,3929,4181,4374,5542,11459,15583
1431:32,58,162,554,749,1023,1109,1126,1804,3234
1435:29,58,101,138,289,302,327,354,508,616
1437:357,776,1544,3847,4919,5857,6303,10075,11762,20850
1441:67843
1447:48,94,138,736,899,901,1109,1119,1382,2200
1448:20302,43332,46690,68952,77410,88402,100488,103540,118605
1457:179,834,901,1126,1764,2085,3527,3841,4187,7006
1458:15,17,58,101,302,508,554,736,866,873
1469:58,101,239,289,302,358,361,394,780,2200
1477:94,483,508,633,1065,1551,3250,3288,4181,4697
1486:2634,5890,14147,15180,15623,21193,26131,26847,30972,42089
1490:179,546,834,901,1023,1475,2024,3841,4187,7006
1491:3,239,302,495,692,726,749,1476,2868,3234
1500:15,58,162,354,554,787,861,873,899,1119
1503:58,101,239,289,508,554,873,931,1382,3234
1517:27097,80218,95331,111233
1518:431,481,571,889,931,2583,4833,5753,6793,7048
1535:29,58,101,162,236,289,302,554,654,899
1551:162,518,554,616,873,931,1023,1462,1550,3234
1552:10906,15294,19245,29723
1553:58,101,289,483,554,1089,1804,2172,4174,4181
1559:29,101,239,289,302,554,749,1140,1550,1804
1560:58,94,138,162,508,518,554,861,899,1119
1561:17,29,58,101,138,289,354,508,616,866
1562:15,29,32,101,289,508,554,564,787,1102
1569:1184,3271,17078,17445,21522,22699,23600,34188,43524,78994
1570:388,470,1231,3505,4008,4816,5575,7841,9598,11535
1588:46420,50311,80185,91208,97112
1589:94,239,508,931,1023,1239,1382,1405,1535,3234
1591:35798
1601:116,294,357,394,564,1001,1009,1709,3429,4919
1602:32,301,354,508,518,873,901,1023,1119,1382
1629:30,61,138,358,449,518,891,1362,4697,5117
1634:4147,8337,9662,10783,15180,26131,39464,42089,77141,113297
1642:58,101,138,289,301,302,354,508,861,1102
1653:29,58,94,101,302,554,736,999,1382,3234
1654:94,101,356,394,486,518,554,1023,1119,1382
1655:29,70,138,162,245,289,358,361,901,1023
1668:29,94,101,289,354,554,899,1023,1119,1382
1681:29,32,103,138,402,518,901,1023,1462,3234
1703:29,32,96,239,262,302,1109,1119,2200,3234
1721:95,375,559,2115,2246,4697,4907,4967,9580,15487
1727:205,215,217,381,787,1444,1728,6129,6836,10640
1728:239,302,495,656,692,726,749,1476,3234,3730
1745:1089,1133,1152,1287,1521,2008,2139,2429,3304,4880
1746:3,17,395,726,1152,1287,1471,2200,2429,2868
1751:32,96,239,402,431,873,891,901,1023,1126
1756:3,239,726,944,999,1102,1190,1762,1822,2868
1758:30,162,194,294,394,402,891,1140,1362,1550
1761:6379,16386,19433,25716,27060,34553,36398,40478,42676,52165
1767:32,96,239,749,891,901,1119,1126,1187,3234
1779:
1780:10246,88524,104391,120791
1783:17,97,239,354,483,690,861,1475,1499,5767
1787:29,32,101,138,239,289,358,361,554,616
1788:176,1449,1551,1555,1790,2379,6455,7806,8009,8011
1794:245,361,402,483,508,1382,2030,2626,3250,3288
1796:29,32,239,361,363,861,873,899,1382,1410
1803:32,94,96,294,394,508,1109,1499,3250,3288
1820:481,571,873,889,931,1339,2583,6793,7048,10041
1821:61,84,493,962,1102,1444,1762,1822,2626,5117
1822:32,96,138,162,354,402,616,861,1140,1550
1823:17,84,138,289,394,554,787,873,901,1023
1840:61,94,162,239,301,402,508,901,1109,1382
1841:1803,2103,2582,2632,4394,5480,7225,7994,8860,16188
1842:58,73,114,530,554,633,1804,3730,4174,5553
1850:3,17,395,470,563,726,837,999,1567,2868
1853:29,302,495,546,749,1476,1549,2030,3234,5567
1854:32,70,101,138,289,301,302,508,654,861
1862:15,32,138,239,302,358,508,554,1102,1382
1880:179,472,496,875,901,1023,1119,1126,3841,4187
1883:29,32,58,101,138,289,302,787,899,1102
1890:3,238,239,395,470,726,837,1567,2868,5998
1891:4169,4203,4828,5673,6830,9018,14414,20387,28235,49718
1893:45,119,138,239,356,358,394,654,1023,1109
1894:29,32,94,138,239,361,508,1023,1382,2139
1911:5319,7097,12294,17232,24825,35817,51578,74204,76306,88066
1912:138,246,521,803,986,1475,1622,2024,2233,4048
1913:223,493,578,813,2428,2644,4032,7059,7409,9146
1930:6754,7160,10874,20411,24752,33763,34015,35218,45954,50931
1932:890,3568,4743,5097,5812,6916,8042,9696,10503,17403
1950:32,162,356,508,554,861,901,947,1119,1382
1951:5182,13490,36824,36996,37497,41525,42869,60195,63173,65588
1952:17,101,162,239,289,554,749,891,1499,3234
2005:101,239,245,285,354,394,518,554,1023,1102
2017:
2025:923,18512,18781,31848,61580,77172,90630,92686,111350,111627
